,Opp_at_bats
974,UNKNOWN
975,UNKNOWN
976,UNKNOWN
977,UNKNOWN
978,UNKNOWN
979,UNKNOWN
980,UNKNOWN
981,UNKNOWN
982,UNKNOWN
983,UNKNOWN
984,UNKNOWN
985,UNKNOWN
986,UNKNOWN
987,UNKNOWN
988,UNKNOWN
989,UNKNOWN
990,UNKNOWN
991,UNKNOWN
992,UNKNOWN
993,UNKNOWN
994,UNKNOWN
995,UNKNOWN
996,UNKNOWN
997,UNKNOWN
998,UNKNOWN
999,UNKNOWN
1000,UNKNOWN
1001,UNKNOWN
1002,UNKNOWN
1003,UNKNOWN
1004,UNKNOWN
1005,UNKNOWN
1006,UNKNOWN
1007,UNKNOWN
1008,UNKNOWN
1009,UNKNOWN
1010,UNKNOWN
1011,UNKNOWN
1012,UNKNOWN
1013,UNKNOWN
1014,UNKNOWN
1015,UNKNOWN
1016,UNKNOWN
1017,UNKNOWN
1018,UNKNOWN
1019,UNKNOWN
1020,UNKNOWN
1021,UNKNOWN
1022,UNKNOWN
1023,UNKNOWN
1024,UNKNOWN
1025,UNKNOWN
1026,UNKNOWN
1027,UNKNOWN
1028,UNKNOWN
1029,UNKNOWN
1030,UNKNOWN
1031,UNKNOWN
1032,UNKNOWN
1033,UNKNOWN
1034,UNKNOWN
1035,UNKNOWN
1036,UNKNOWN
1037,UNKNOWN
1038,UNKNOWN
1039,UNKNOWN
1040,UNKNOWN
1041,UNKNOWN
1042,UNKNOWN
1043,UNKNOWN
1044,UNKNOWN
1045,UNKNOWN
1046,UNKNOWN
1047,UNKNOWN
1048,UNKNOWN
1049,UNKNOWN
1050,UNKNOWN
1051,UNKNOWN
1052,UNKNOWN
1053,UNKNOWN
1054,UNKNOWN
1055,UNKNOWN
1056,UNKNOWN
1057,UNKNOWN
1058,UNKNOWN
1059,UNKNOWN
1060,UNKNOWN
1061,UNKNOWN
1062,UNKNOWN
1063,UNKNOWN
1064,UNKNOWN
1067,UNKNOWN
1068,UNKNOWN
1069,UNKNOWN
1070,UNKNOWN
1071,UNKNOWN
1072,UNKNOWN
1075,UNKNOWN
1076,UNKNOWN
1077,UNKNOWN
1078,UNKNOWN
1079,UNKNOWN
1080,UNKNOWN
1081,UNKNOWN
1082,UNKNOWN
1083,UNKNOWN
1084,UNKNOWN
1085,UNKNOWN
1086,UNKNOWN
1087,UNKNOWN
1088,UNKNOWN
1089,UNKNOWN
1090,UNKNOWN
1091,UNKNOWN
1092,UNKNOWN
1093,UNKNOWN
1094,UNKNOWN
1095,UNKNOWN
1096,UNKNOWN
1097,UNKNOWN
1098,UNKNOWN
1099,UNKNOWN
1100,UNKNOWN
1101,UNKNOWN
1102,UNKNOWN
1103,UNKNOWN
1104,UNKNOWN
1105,UNKNOWN
1106,UNKNOWN
1107,UNKNOWN
1108,UNKNOWN
1109,UNKNOWN
1110,UNKNOWN
1111,UNKNOWN
1112,UNKNOWN
1113,UNKNOWN
1114,UNKNOWN
1115,UNKNOWN
1116,UNKNOWN
1117,UNKNOWN
1118,UNKNOWN
1119,UNKNOWN
1120,UNKNOWN
1121,UNKNOWN
1122,UNKNOWN
1123,UNKNOWN
1124,UNKNOWN
1125,UNKNOWN
1126,UNKNOWN
1127,UNKNOWN
1128,UNKNOWN
1129,UNKNOWN
1130,UNKNOWN
1131,UNKNOWN
1132,UNKNOWN
1133,UNKNOWN
1134,UNKNOWN
1135,UNKNOWN
1136,UNKNOWN
1137,UNKNOWN
1138,UNKNOWN
1139,UNKNOWN
1140,UNKNOWN
1141,UNKNOWN
1142,UNKNOWN
1143,UNKNOWN
1144,UNKNOWN
1145,UNKNOWN
1146,UNKNOWN
1147,UNKNOWN
